trace,source_x_um,angle_deg,intensity_proxy
case,-0.7,-54.5782121517477,2.9399587809308584e-07
case,-0.7,-54.47942686447983,3.0207108638762014e-07
case,-0.7,-54.38087959981064,3.260300461995692e-07
case,-0.7,-54.282568355999494,3.6665676096299655e-07
case,-0.7,-54.18449115793227,4.2456137992299636e-07
case,-0.7,-54.08664605662754,5.001639027363181e-07
case,-0.7,-53.98903112875451,5.936800159458757e-07
case,-0.7,-53.891644476162206,7.051093695470419e-07
case,-0.7,-53.79448422541982,8.342265742109686e-07
case,-0.7,-53.69754852736772,9.805751661031655e-07
case,-0.7,-53.60083555667886,1.143464746919298e-06
case,-0.7,-53.504343511430285,1.3219714621681007e-06
case,-0.7,-53.40807061268459,1.5149419314069132e-06
case,-0.7,-53.31201510408083,1.7210006907517941e-06
case,-0.7,-53.216175251434755,1.9385611513383547e-06
case,-0.7,-53.12054934234811,2.1658400184139037e-06
case,-0.7,-53.02513568582671,2.4008750554110337e-06
case,-0.7,-52.92993261190705,2.641546016787707e-06
case,-0.7,-52.83493847129136,2.885598513784395e-06
case,-0.7,-52.740151634990475,3.1306705197512808e-06
case,-0.7,-52.645570493974915,3.374321167558089e-06
case,-0.7,-52.55119345883336,3.614061442022049e-06
case,-0.7,-52.45701895943875,3.847386326436361e-06
case,-0.7,-52.36304544462159,4.071807925238772e-06
case,-0.7,-52.26927138185027,4.284889055606273e-06
case,-0.7,-52.17569525691843,4.484276780144623e-06
case,-0.7,-52.08231557363882,4.667735341543404e-06
case,-0.7,-51.9891308535438,4.833177958591011e-06
case,-0.7,-51.8961396355923,4.9786969515859434e-06
case,-0.7,-51.80334047588273,5.10259168402282e-06
case,-0.7,-51.71073194737209,5.203393836327878e-06
case,-0.7,-51.61831263960105,5.279889565996563e-06
case,-0.7,-51.526081158424454,5.331138156145944e-06
case,-0.7,-51.43403612574782,5.356486810422815e-06
case,-0.7,-51.342176179268826,5.35558131538981e-06
case,-0.7,-51.25049997222457,5.328372360752855e-06
case,-0.7,-51.15900617314364,5.275117381747582e-06
case,-0.7,-51.067693465603426,5.196377865202234e-06
case,-0.7,-50.97656054799229,5.09301213968455e-06
case,-0.7,-50.88560613327656,4.966163749115463e-06
case,-0.7,-50.7948289487722,4.817245586676359e-06
case,-0.7,-50.70422773592103,4.647920040161083e-06
case,-0.7,-50.613801250071404,4.460075469606667e-06
case,-0.7,-50.5235482602633,4.255799401659828e-06
case,-0.7,-50.43346754901757,4.037348881418219e-06
case,-0.7,-50.34355791212937,3.8071184703133952e-06
case,-0.7,-50.253818158465634,3.5676064170559294e-06
case,-0.7,-50.16424710976652,3.3213795570361344e-06
case,-0.7,-50.07484360045067,3.0710375133878402e-06
case,-0.7,-49.985606477424184,2.819176779936082e-06
