kind,lambda_nm,monitor,order_m,power_raw,state_air,state_substrate,u1
transmission,451.99999999999994,transmission_monitor,3,0.043921892159390956,PROPAGATING,PROPAGATING,0.08766334344833422
transmission,451.99999999999994,transmission_monitor,4,0.06222834341159957,PROPAGATING,PROPAGATING,0.3474334583908629
transmission,451.99999999999994,transmission_monitor,5,0.021212617594323933,PROPAGATING,PROPAGATING,0.6072035733333917
transmission,451.99999999999994,transmission_monitor,6,0.23004863629402542,PROPAGATING,PROPAGATING,0.8669736882759205
reflection,451.99999999999994,reflection_monitor,-2,0.0037560581321961005,EVANESCENT,PROPAGATING,-0.849251580970842
reflection,451.99999999999994,reflection_monitor,-1,0.12044974008523215,PROPAGATING,PROPAGATING,-0.6671078338198472
reflection,451.99999999999994,reflection_monitor,0,0.017403134361693932,PROPAGATING,PROPAGATING,-0.4849640866688524
reflection,451.99999999999994,reflection_monitor,1,0.14588185175788193,PROPAGATING,PROPAGATING,-0.3028203395178576
reflection,451.99999999999994,reflection_monitor,2,0.061239385287294563,PROPAGATING,PROPAGATING,-0.12067659236686272
reflection,451.99999999999994,reflection_monitor,3,0.03360076178224046,PROPAGATING,PROPAGATING,0.06146715478413213
reflection,451.99999999999994,reflection_monitor,4,0.013981796232296648,PROPAGATING,PROPAGATING,0.24361090193512694
reflection,451.99999999999994,reflection_monitor,5,0.08385659961908015,PROPAGATING,PROPAGATING,0.4257546490861218
reflection,451.99999999999994,reflection_monitor,6,0.3130012308953439,PROPAGATING,PROPAGATING,0.6078983962371166
reflection,451.99999999999994,reflection_monitor,7,0.10617966218579022,EVANESCENT,PROPAGATING,0.7900421433881114
reflection,451.99999999999994,reflection_monitor,8,0.10064977966094994,EVANESCENT,PROPAGATING,0.9721858905391062
transmission,453.00000000000006,transmission_monitor,-1,0.1842207495081285,PROPAGATING,PROPAGATING,-0.9535220214463864
transmission,453.00000000000006,transmission_monitor,0,0.09318906553315438,PROPAGATING,PROPAGATING,-0.6931771938601795
transmission,453.00000000000006,transmission_monitor,1,0.16694959124637726,PROPAGATING,PROPAGATING,-0.4328323662739727
transmission,453.00000000000006,transmission_monitor,2,0.19819894932933252,PROPAGATING,PROPAGATING,-0.17248753868776576
transmission,453.00000000000006,transmission_monitor,3,0.03990665115584755,PROPAGATING,PROPAGATING,0.08785728889844116
transmission,453.00000000000006,transmission_monitor,4,0.058936034228789895,PROPAGATING,PROPAGATING,0.348202116484648
transmission,453.00000000000006,transmission_monitor,5,0.02193823127339725,PROPAGATING,PROPAGATING,0.608546944070855
transmission,453.00000000000006,transmission_monitor,6,0.23666072772497254,PROPAGATING,PROPAGATING,0.8688917716570619
reflection,453.00000000000006,reflection_monitor,-2,0.0023107700126028434,EVANESCENT,PROPAGATING,-0.8511304561499813
reflection,453.00000000000006,reflection_monitor,-1,0.11783461218523797,PROPAGATING,PROPAGATING,-0.6685837361070595
reflection,453.00000000000006,reflection_monitor,0,0.017903470461359566,PROPAGATING,PROPAGATING,-0.4860370160641376
reflection,453.00000000000006,reflection_monitor,1,0.14482506792359892,PROPAGATING,PROPAGATING,-0.30349029602121574
reflection,453.00000000000006,reflection_monitor,2,0.06034224456324552,PROPAGATING,PROPAGATING,-0.12094357597829387
reflection,453.00000000000006,reflection_monitor,3,0.03173103910418569,PROPAGATING,PROPAGATING,0.06160314406462801
reflection,453.00000000000006,reflection_monitor,4,0.013414456470037113,PROPAGATING,PROPAGATING,0.24414986410754985
reflection,453.00000000000006,reflection_monitor,5,0.08082186008347637,PROPAGATING,PROPAGATING,0.4266965841504718
reflection,453.00000000000006,reflection_monitor,6,0.32079993606361323,PROPAGATING,PROPAGATING,0.6092433041933936
reflection,453.00000000000006,reflection_monitor,7,0.11809950592913827,EVANESCENT,PROPAGATING,0.7917900242363154
reflection,453.00000000000006,reflection_monitor,8,0.09191703720350444,EVANESCENT,PROPAGATING,0.9743367442792372
transmission,453.9999999999999,transmission_monitor,-1,0.1864893411765562,PROPAGATING,PROPAGATING,-0.9556269265709919
transmission,453.9999999999999,transmission_monitor,0,0.08986952559675053,PROPAGATING,PROPAGATING,-0.694707386341107
transmission,453.9999999999999,transmission_monitor,1,0.16469863121006859,PROPAGATING,PROPAGATING,-0.433787846111222
transmission,453.9999999999999,transmission_monitor,2,0.20073159150811185,PROPAGATING,PROPAGATING,-0.17286830588133695
transmission,453.9999999999999,transmission_monitor,3,0.03625790704401834,PROPAGATING,PROPAGATING,0.08805123434854807
