topology_family,N,H_nm,L_nm,C_nm,M,total_thickness_nm,physical_layer_count,count,FWHM_min,FWHM_median,FWHM_max,T450_min,T450_median,T450_max,T448_min,T448_median,T448_max,T453_min,T453_median,T453_max,ratio_min,ratio_median,ratio_max
Explicit,2,42,81,162,,654,9,1,27.5,27.5,27.5,0.814407229705928,0.814407229705928,0.814407229705928,0.8288603986364145,0.8288603986364145,0.8288603986364145,0.7878427111388475,0.7878427111388475,0.7878427111388475,7.44147677637741,7.44147677637741,7.44147677637741
Explicit,2,42,82,152,,648,9,1,20.5,20.5,20.5,0.5096973124974223,0.5096973124974223,0.5096973124974223,0.44577667530093845,0.44577667530093845,0.44577667530093845,0.36719933459398213,0.36719933459398213,0.36719933459398213,4.971504760076261,4.971504760076261,4.971504760076261
Explicit,2,42,82,153,,649,9,1,22.0,22.0,22.0,0.5593256681474668,0.5593256681474668,0.5593256681474668,0.48999286930014874,0.48999286930014874,0.48999286930014874,0.4027994030572075,0.4027994030572075,0.4027994030572075,5.339587496787869,5.339587496787869,5.339587496787869
Explicit,2,42,82,154,,650,9,1,23.5,23.5,23.5,0.611211195305511,0.611211195305511,0.611211195305511,0.5376989343646129,0.5376989343646129,0.5376989343646129,0.4421251878821042,0.4421251878821042,0.4421251878821042,5.724628855423613,5.724628855423613,5.724628855423613
Explicit,2,42,82,155,,651,9,1,25.0,25.0,25.0,0.663624095764376,0.663624095764376,0.663624095764376,0.5881124116937024,0.5881124116937024,0.5881124116937024,0.48515557323763236,0.48515557323763236,0.48515557323763236,6.117753613771511,6.117753613771511,6.117753613771511
Explicit,2,42,82,156,,652,9,1,26.0,26.0,26.0,0.71407229927306,0.71407229927306,0.71407229927306,0.6398631855594545,0.6398631855594545,0.6398631855594545,0.5315998239596595,0.5315998239596595,0.5315998239596595,6.505438352225276,6.505438352225276,6.505438352225276
Explicit,2,42,82,157,,653,9,1,26.0,26.0,26.0,0.7593649833865209,0.7593649833865209,0.7593649833865209,0.690878955841421,0.690878955841421,0.690878955841421,0.5807727670323373,0.5807727670323373,0.5807727670323373,6.86887286824648,6.86887286824648,6.86887286824648
Explicit,2,42,82,158,,654,9,1,26.5,26.5,26.5,0.7959090369563875,0.7959090369563875,0.7959090369563875,0.7383721461036904,0.7383721461036904,0.7383721461036904,0.6314596559857437,0.6314596559857437,0.6314596559857437,7.184145113327402,7.184145113327402,7.184145113327402
Explicit,2,42,82,159,,655,9,1,27.0,27.0,27.0,0.8202632972328007,0.8202632972328007,0.8202632972328007,0.7790110018776593,0.7790110018776593,0.7790110018776593,0.6818043690049681,0.6818043690049681,0.6818043690049681,7.423823847761733,7.423823847761733,7.423823847761733
Explicit,2,42,82,160,,656,9,1,27.0,27.0,27.0,0.8298501962942517,0.8298501962942517,0.8298501962942517,0.8093309237458781,0.8093309237458781,0.8093309237458781,0.7292783272084297,0.7292783272084297,0.7292783272084297,7.560318263341954,7.560318263341954,7.560318263341954
Explicit,2,42,82,161,,657,9,1,27.5,27.5,27.5,0.8235905276283586,0.8235905276283586,0.8235905276283586,0.8263536119101997,0.8263536119101997,0.8263536119101997,0.7708029273039307,0.7708029273039307,0.7708029273039307,7.570781772647378,7.570781772647378,7.570781772647378
Explicit,2,42,82,162,,658,9,1,27.5,27.5,27.5,0.8021931353621576,0.8021931353621576,0.8021931353621576,0.8282528344800202,0.8282528344800202,0.8282528344800202,0.8030828042227653,0.8030828042227653,0.8030828042227653,7.442415820713173,7.442415820713173,7.442415820713173
Explicit,2,43,76,152,,628,9,1,20.0,20.0,20.0,0.47388541056076616,0.47388541056076616,0.47388541056076616,0.4148051377502051,0.4148051377502051,0.4148051377502051,0.3428859460426454,0.3428859460426454,0.3428859460426454,4.431338977240885,4.431338977240885,4.431338977240885
Explicit,2,43,76,153,,629,9,1,21.0,21.0,21.0,0.5212007241177887,0.5212007241177887,0.5212007241177887,0.4562605316016605,0.4562605316016605,0.4562605316016605,0.3758563221585757,0.3758563221585757,0.3758563221585757,4.768675895946268,4.768675895946268,4.768675895946268
Explicit,2,43,76,154,,630,9,1,22.5,22.5,22.5,0.5717008967091722,0.5717008967091722,0.5717008967091722,0.5015645579457951,0.5015645579457951,0.5015645579457951,0.41249887030726573,0.41249887030726573,0.41249887030726573,5.127367708244104,5.127367708244104,5.127367708244104
