model,geometry_id,polarization,order_n,mean_hf_minus_model,mae_hf_minus_model,p90_abs_hf_minus_model,max_abs_hf_minus_model
LF_global_bias,K6X_D125_D135_D150_D175_D190_D210,p,3,0.010524864257391782,0.010524864257391782,0.012372329586799355,0.012775918942321421
LF_global_bias,K6X_D125_D135_D150_D175_D190_D210,s,-3,0.02278283979587944,0.02278283979587944,0.02359138222897181,0.023759086631459744
LF_global_bias,K6X_D125_D135_D150_D175_D190_D210,s,-2,0.010024472586285747,0.010024472586285747,0.012177454845815765,0.014402384293986239
LF_global_bias,K6X_D125_D135_D150_D175_D190_D210,s,-1,0.00897368711122551,0.00897368711122551,0.009826828128008298,0.010027777012184377
LF_global_bias,K6X_D125_D135_D150_D175_D190_D210,s,0,0.042511744903131636,0.042511744903131636,0.04456850789363671,0.04468006985476155
LF_global_bias,K6X_D125_D135_D150_D175_D190_D210,s,1,-0.09662845285256759,0.09662845285256759,0.14942267287338995,0.15656713595422034
LF_global_bias,K6X_D125_D135_D150_D175_D190_D210,s,2,0.06834161075838086,0.06834161075838086,0.07738148082315766,0.08170736453027236
LF_global_bias,K6X_D125_D135_D150_D175_D190_D210,s,3,0.014554929669332054,0.014554929669332054,0.018833128591906084,0.021276785603760583
LF_global_bias,K6X_D130_D145_D155_D180_D195_D230,p,-3,0.023580011042275615,0.023580011042275615,0.02432411822595028,0.02443963281581064
LF_global_bias,K6X_D130_D145_D155_D180_D195_D230,p,-2,0.01020686992604911,0.01020686992604911,0.016314244745736537,0.017560920939666755
