trace,source_x_um,angle_deg,intensity_proxy
case,-0.7,-36.49819045988941,7.189271437351474e-07
case,-0.7,-36.426913159406524,7.4831415785437e-07
case,-0.7,-36.35570123691935,7.748233116486146e-07
case,-0.7,-36.28455440315275,7.979645288210515e-07
case,-0.7,-36.21347237055206,8.173047015804503e-07
case,-0.7,-36.142454853268184,8.324750681022938e-07
case,-0.7,-36.071501567142846,8.431774251982673e-07
case,-0.7,-36.000612229693914,8.491890684520962e-07
case,-0.7,-35.92978656010103,8.503663759550348e-07
case,-0.7,-35.85902427919125,8.46646977256042e-07
case,-0.7,-35.788325109424925,8.380504757193778e-07
case,-0.7,-35.717688774881736,8.246777196177722e-07
case,-0.7,-35.647115001246846,8.067086444287906e-07
case,-0.7,-35.57660351579718,7.843987353894495e-07
case,-0.7,-35.506154047387966,7.580741848541971e-07
case,-0.7,-35.43576632643925,7.281258428726347e-07
case,-0.7,-35.36544008492272,6.950020811709462e-07
case,-0.7,-35.295175056348555,6.592007099479979e-07
case,-0.7,-35.22497097575249,6.212601032053677e-07
case,-0.7,-35.154827579682944,5.81749701409184e-07
case,-0.7,-35.084744606188366,5.412600698945145e-07
case,-0.7,-35.014721794804665,5.003926974132536e-07
case,-0.7,-34.94475888654274,4.5974972151999243e-07
case,-0.7,-34.874855623876265,4.1992376609622953e-07
case,-0.7,-34.80501175072943,3.814880713224352e-07
case,-0.7,-34.73522701246498,3.4498708798903674e-07
case,-0.7,-34.665501155872256,3.109276964331676e-07
case,-0.7,-34.59583392915542,2.7977119590510147e-07
case,-0.7,-34.526225081921766,2.5192619317027714e-07
case,-0.7,-34.456674365170215,2.2774250004950406e-07
case,-0.7,-34.38718153127986,2.0750612883645887e-07
case,-0.7,-34.31774633399865,1.9143545257655684e-07
case,-0.7,-34.24836852843221,1.7967857452513498e-07
case,-0.7,-34.179047871032786,1.7231192820584702e-07
case,-0.7,-34.109784119588255,1.693401068310993e-07
case,-0.7,-34.04057703321124,1.7069689887204507e-07
case,-0.7,-33.97142637232847,1.7624748569112493e-07
case,-0.7,-33.90233189867004,1.857917377504473e-07
case,-0.7,-33.833293375258954,1.9906852831232355e-07
case,-0.7,-33.76431056640069,2.1576096802938626e-07
case,-0.7,-33.6953832376729,2.3550245059992745e-07
case,-0.7,-33.62651115591516,2.578833888997509e-07
case,-0.7,-33.55769408921894,2.8245851279608196e-07
case,-0.7,-33.48893180691754,3.0875459424477457e-07
case,-0.7,-33.42022407957621,3.362784622559995e-07
case,-0.7,-33.351570678982334,3.6452516982029613e-07
case,-0.7,-33.28297137813576,3.92986176803039e-07
case,-0.7,-33.21442595123916,4.2115741698572135e-07
case,-0.7,-33.145934173688495,4.485471236656302e-07
case,-0.7,-33.07749582206369,4.746832963013085e-07
case,-0.7,-33.00911067411918,4.991207003668624e-07
case,-0.7,-32.94077850877476,5.214473035961237e-07
case,-0.7,-32.87249910610643,5.41290063891649e-07
case,-0.7,-32.80427224733734,5.583199970756752e-07
case,-0.7,-32.73609771482879,5.722564661065511e-07
case,-0.7,-32.6679752920714,5.828706471208012e-07
case,-0.7,-32.59990476367632,5.899881414477583e-07
case,-0.7,-32.53188591536648,5.934907163591275e-07
case,-0.7,-32.463918533968,5.933171705594779e-07
case,-0.7,-32.39600240740168,5.894633331187251e-07
case,-0.7,-32.32813732467447,5.819812165424636e-07
case,-0.7,-32.2603230758712,5.709773558443597e-07
case,-0.7,-32.19255945214618,5.566103757260926e-07
case,-0.7,-32.12484624571507,5.390878372087094e-07
case,-0.7,-32.05718324984672,5.186624232419779e-07
case,-0.7,-31.989570258855093,4.956275299143136e-07
case,-0.7,-31.922007068091315,4.7031233588292134e-07
case,-0.7,-31.854493473935765,4.430764275462633e-07
